Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,701739,13755.774,3355,65.766,0,5700,111.734,6,0.118,0
Bahrain,Eastern Mediterranean,671055,39437.286,1118,65.704,0,1514,88.976,1,0.059,0
Sri Lanka,South-East Asia,669819,3128.059,457,2.134,0,16692,77.952,28,0.131,0
Kuwait,Eastern Mediterranean,657395,15393.609,353,8.266,0,2563,60.015,0,0,0
Dominican Republic,Americas,638500,5885.926,1698,15.653,170,4384,40.413,0,0,0
Myanmar,South-East Asia,615030,1130.366,282,0.518,0,19437,35.723,0,0,0
Estonia,Europe,597838,44984.861,1076,80.965,195,2651,199.477,9,0.677,9
Cyprus,Europe,576278,64895.806,2154,242.566,0,1168,131.531,16,1.802,0
Republic of Moldova,Europe,569088,14107.417,0,0,0,11725,290.657,0,0,0
Venezuela (Bolivarian Republic of),Americas,542252,1906.925,847,2.979,53,5796,20.383,8,0.028,2
Egypt,Eastern Mediterranean,515308,503.553,44,0.043,0,24794,24.228,3,0.003,0
Libya,Eastern Mediterranean,506768,7375.149,166,2.416,17,6436,93.665,0,0,0
Ethiopia,Africa,493167,428.977,157,0.137,35,7571,6.586,0,0,0
Réunion,Africa,460376,51420.734,5711,637.878,0,861,96.168,6,0.67,0
Honduras,Americas,453443,4578.102,3050,30.794,0,10972,110.777,7,0.071,0
Armenia,Europe,434398,14659.592,2124,71.678,0,8655,292.08,7,0.236,0
Qatar,Eastern Mediterranean,428147,14860.782,3728,129.397,584,681,23.637,0,0,0
Oman,Eastern Mediterranean,397846,7790.78,0,0,0,4628,90.627,0,0,0
Bosnia and Herzegovina,Europe,395429,12052.767,1625,49.53,54,16041,488.933,45,1.372,13
North Macedonia,Europe,339492,16295.251,1375,65.999,0,9473,454.694,12,0.576,0
Kenya,Africa,338165,628.895,112,0.208,4,5674,10.552,1,0.002,0
Zambia,Africa,332527,1808.789,0,0,0,4016,21.845,0,0,0
Albania,Europe,327425,11377.615,2494,86.663,56,3582,124.47,6,0.208,1
Botswana,Africa,325864,13856.959,0,0,0,2778,118.131,0,0,0
Luxembourg,Europe,286660,45784.433,777,124.1,8,1123,179.362,2,0.319,0
Montenegro,Europe,275089,43799.657,1908,303.792,138,2771,441.198,5,0.796,0
Kosovo[1],Europe,271151,15100.303,1306,72.731,42,3184,177.316,3,0.167,0
Algeria,Africa,270235,616.257,341,0.778,41,6878,15.685,0,0,0
Nigeria,Africa,263407,127.781,317,0.154,0,3148,1.527,0,0,0
Zimbabwe,Africa,256708,1727.17,80,0.538,4,5593,37.631,1,0.007,0
Mauritius,Africa,256452,20164.999,0,0,0,1023,80.439,0,0,0
Uzbekistan,Europe,243784,728.383,93,0.278,6,1637,4.891,0,0,0
Mozambique,Africa,230069,736.093,66,0.211,1,2220,7.103,1,0.003,0
Brunei Darussalam,Western Pacific,220245,50344.131,0,0,0,128,29.259,0,0,0
Martinique,Americas,215582,57447.937,857,228.372,0,1022,272.341,4,1.066,0
Lao People's Democratic Republic,Western Pacific,213824,2938.935,560,7.697,36,757,10.405,0,0,0
Kyrgyzstan,Europe,205716,3153.127,179,2.744,0,2991,45.845,0,0,0
Iceland,Europe,204268,56096.931,32,8.788,0,179,49.158,0,0,0
Afghanistan,Eastern Mediterranean,193004,495.793,1964,5.045,448,7777,19.978,10,0.026,0
Guadeloupe,Americas,191997,47984.375,880,219.932,0,986,246.424,4,1,0
El Salvador,Americas,190818,2941.905,0,0,0,4221,65.077,3,0.046,1
Maldives,South-East Asia,184856,34198.141,68,12.58,0,308,56.98,1,0.185,0
Trinidad and Tobago,Americas,178687,12768.027,1679,119.972,155,4132,295.251,32,2.287,4
Uganda,Africa,168891,369.233,108,0.236,0,3628,7.932,0,0,0
Ghana,Africa,168580,542.53,15,0.048,0,1459,4.695,0,0,0
Namibia,Africa,166566,6555.381,0,0,0,4074,160.337,0,0,0
Jamaica,Americas,149714,5055.912,762,25.733,118,3252,109.822,15,0.507,2
Cambodia,Western Pacific,137581,822.904,133,0.796,26,3056,18.279,0,0,0
Rwanda,Africa,132416,1022.342,24,0.185,0,1466,11.319,0,0,0
Cameroon,Africa,121652,458.271,0,0,0,1935,7.289,0,0,0
Malta,Europe,114000,22154.679,130,25.264,11,801,155.666,2,0.389,0
Angola,Africa,102636,312.284,0,0,0,1917,5.833,0,0,0
Barbados,Americas,100762,35062.897,1190,414.093,86,539,187.56,9,3.132,0
French Guiana,Americas,93586,31332.99,166,55.578,0,408,136.6,0,0,0
Democratic Republic of the Congo,Africa,92633,103.43,0,0,0,1400,1.563,0,0,0
Senegal,Africa,88082,526.053,110,0.657,14,1968,11.754,0,0,0
Malawi,Africa,87718,458.537,0,0,0,2673,13.973,0,0,0
Côte d’Ivoire,Africa,86650,328.49,196,0.743,10,817,3.097,0,0,0
Suriname,Americas,81022,13811.384,15,2.557,0,1383,235.753,1,0.17,0
French Polynesia,Western Pacific,76439,27211.4,80,28.479,0,649,231.036,0,0,0
New Caledonia,Western Pacific,73633,25791.074,561,196.499,0,314,109.983,0,0,0
Eswatini,Africa,73361,6323.33,17,1.465,3,1422,122.569,3,0.259,0
Guyana,Americas,70974,9023.434,165,20.978,8,1278,162.481,0,0,0
Belize,Americas,68187,17148.44,226,56.837,0,680,171.014,0,0,0
Fiji,Western Pacific,68153,7602.586,73,8.143,37,878,97.942,1,0.112,1
Madagascar,Africa,66626,240.605,11,0.04,0,1410,5.092,0,0,0
Sudan,Eastern Mediterranean,63228,144.194,55,0.125,0,4961,11.314,0,0,0
Mauritania,Africa,62761,1349.798,20,0.43,0,992,21.335,0,0,0
Cabo Verde,Africa,62310,11207.097,16,2.878,0,410,73.743,0,0,0
Bhutan,South-East Asia,61076,7915.418,137,17.755,0,21,2.722,0,0,0
Jersey,Europe,58890,54630.97,82,76.07,0,136,126.164,1,0.928,0
Syrian Arab Republic,Eastern Mediterranean,57008,325.748,132,0.754,23,3163,18.074,2,0.011,0
Burundi,Africa,49258,414.254,195,1.64,0,15,0.126,0,0,0
Gabon,Africa,48635,2185.122,0,0,0,306,13.748,0,0,0
Guam,Western Pacific,48186,28550.437,257,152.274,0,389,230.484,0,0,0
Seychelles,Africa,46081,46855.522,229,232.849,0,169,171.841,1,1.017,0
Andorra,Europe,46027,59570.31,52,67.301,0,154,199.314,0,0,0
Curaçao,Americas,45277,27592.28,34,20.72,0,286,174.291,1,0.609,0
Papua New Guinea,Western Pacific,44880,501.619,18,0.201,2,664,7.421,0,0,0
Aruba,Americas,42750,40040.837,112,104.902,0,227,212.615,0,0,0
Mayotte,Africa,40004,14663.417,109,39.954,0,187,68.545,0,0,0
United Republic of Tanzania,Africa,38712,64.807,0,0,0,841,1.408,0,0,0
Togo,Africa,38465,464.625,90,1.087,14,282,3.406,0,0,0
Isle of Man,Europe,38008,44698.466,214,251.67,0,116,136.419,1,1.176,0
Guinea,Africa,37470,285.316,0,0,0,447,3.404,0,0,0
Bahamas,Americas,37044,9420.106,48,12.206,0,823,209.285,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34206,1596.733,0,0,0,704,32.863,0,0,0
Haiti,Americas,33381,292.751,86,0.754,0,841,7.376,0,0,0
Mali,Africa,31337,154.744,75,0.37,12,739,3.649,0,0,0
Guernsey,Europe,30651,47544.518,132,204.753,0,62,96.172,0,0,0
Cayman Islands,Americas,30057,45734.936,150,228.241,0,29,44.127,0,0,0
Saint Lucia,Americas,28730,15645.847,188,102.381,0,389,211.842,1,0.545,0
Benin,Africa,27490,226.755,174,1.435,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27020,170.01,0,0,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,23161,1756.691,27,2.048,0,138,10.467,3,0.228,0
United States Virgin Islands,Americas,22481,21528.37,181,173.33,0,122,116.83,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Burkina Faso,Africa,21128,101.075,0,0,0,387,1.851,0,0,0
San Marino,Europe,20341,59935.765,59,173.846,18,118,347.693,0,0,0
Gibraltar,Europe,20049,59508.474,15,44.522,0,107,317.592,1,2.968,0
Grenada,Americas,19289,17142.273,128,113.755,0,236,209.735,2,1.777,0
Liechtenstein,Europe,19019,49085.09,0,0,0,85,219.372,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Bermuda,Americas,17785,28559.729,111,178.247,0,148,237.663,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Equatorial Guinea,Africa,16853,1201.225,12,0.855,0,183,13.044,0,0,0
Samoa,Western Pacific,15839,7982.804,72,36.288,0,29,14.616,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Tonga,Western Pacific,15235,14414.116,0,0,0,12,11.353,0,0,0
Nicaragua,Americas,14931,225.389,32,0.483,0,244,3.683,0,0,0
Marshall Islands,Western Pacific,14907,25183.296,2059,3478.393,90,16,27.03,2,3.379,0
Central African Republic,Africa,14861,307.696,0,0,0,113,2.34,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Monaco,Europe,14375,36629.803,39,99.378,5,61,155.438,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13120,22794.795,70,121.619,0,40,69.496,0,0,0
Gambia,Africa,12311,509.42,0,0,0,371,15.352,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Saint Martin,Americas,11941,30888.021,30,77.602,0,46,118.989,0,0,0
Yemen,Eastern Mediterranean,11926,39.985,11,0.037,1,2155,7.225,1,0.003,0
Vanuatu,Western Pacific,11780,3835.322,10,3.256,0,14,4.558,0,0,0
Sint Maarten,Americas,10809,25206.38,0,0,0,87,202.882,0,0,0
Eritrea,Africa,10154,286.317,5,0.141,0,103,2.904,0,0,0
Saint Vincent and the Grenadines,Americas,9428,8498.287,14,12.619,6,115,103.66,0,0,0
Niger,Africa,9329,38.539,110,0.454,0,312,1.289,0,0,0
Bonaire,Americas,9288,44408.319,69,329.907,0,31,148.219,1,4.781,0
Antigua and Barbuda,Americas,8949,9138.253,54,55.142,0,145,148.066,1,1.021,0
Guinea-Bissau,Africa,8491,431.453,0,0,0,175,8.892,0,0,0
Comoros,Africa,8450,971.71,11,1.265,0,160,18.399,0,0,0
American Samoa,Western Pacific,8168,14797.906,0,0,0,34,61.598,1,1.812,0
Liberia,Africa,7835,154.913,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7747,97.117,3,0.038,0,125,1.567,0,0,0
Chad,Africa,7536,45.879,47,0.286,47,193,1.175,0,0,0
Micronesia (Federated States of),Western Pacific,7262,6313.52,381,331.238,199,26,22.604,5,4.347,2
British Virgin Islands,Americas,7131,23583.689,0,0,0,63,208.354,0,0,0
Saint Kitts and Nevis,Americas,6511,12240.562,12,22.56,2,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6359,16423.886,8,20.662,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6265,35669.551,0,0,0,1,5.693,0,0,0
Sao Tome and Principe,Africa,6136,2799.794,0,0,0,76,34.678,0,0,0
Palau,Western Pacific,5348,29560.027,69,381.384,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5263,53242.286,32,323.723,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3805,25363.285,59,393.281,0,10,66.658,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3131,54029.336,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1886,54148.722,5,143.554,0,0,0,0,0,0
Sint Eustatius,Americas,1174,37400.446,8,254.858,0,5,159.286,0,0,0
Montserrat,Americas,1126,22524.505,20,400.08,0,8,160.032,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,711,36782.204,5,258.665,0,2,103.466,0,0,0
Niue,Western Pacific,68,4202.719,8,494.438,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,20,169.607,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
